"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"310069","SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL","501 WEST FRONT STREET","","","ELMER","NJ","08318","SALEM","8563631000","14.2","No Different than U.S. National Rate","11.2","17.8","103","","10.2","No Different than U.S. National Rate","7.8","12.9","256","","11.0","No Different than U.S. National Rate","8.5","14.0","228","","20.3","No Different than U.S. National Rate","16.4","24.8","58","","23.7","No Different than U.S. National Rate","20.3","27.3","298","","17.5","No Different than U.S. National Rate","14.5","21.0","227",""
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7327458600","15.8","No Different than U.S. National Rate","13.0","19.3","204","","12.3","No Different than U.S. National Rate","10.0","15.0","454","","9.6","No Different than U.S. National Rate","7.7","12.0","465","","21.8","No Different than U.S. National Rate","18.0","26.2","125","","27.5","No Different than U.S. National Rate","24.3","30.7","531","","23.3","Worse than U.S. National Rate","19.9","26.6","470",""
"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","","","NEPTUNE","NJ","07754","MONMOUTH","7327755500","15.2","No Different than U.S. National Rate","13.0","17.8","565","","8.3","Better than U.S. National Rate","7.1","9.6","1264","","9.8","Better than U.S. National Rate","8.1","11.7","506","","21.1","No Different than U.S. National Rate","19.0","23.1","1132","","24.2","No Different than U.S. National Rate","22.4","26.1","1736","","17.1","No Different than U.S. National Rate","14.7","19.9","478",""
"310074","LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS","355 GRAND STREET","","","JERSEY CITY","NJ","07302","HUDSON","2019152000","14.5","No Different than U.S. National Rate","11.4","18.2","188","","8.8","No Different than U.S. National Rate","6.6","11.6","388","","11.1","No Different than U.S. National Rate","8.0","15.0","149","","24.3","Worse than U.S. National Rate","20.6","28.4","222","","31.1","Worse than U.S. National Rate","27.5","34.3","515","","20.5","No Different than U.S. National Rate","16.9","24.6","160",""
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","","","LONG BRANCH","NJ","07740","MONMOUTH","7322225200","13.6","No Different than U.S. National Rate","10.8","16.9","193","","10.8","No Different than U.S. National Rate","8.7","13.2","476","","10.1","No Different than U.S. National Rate","8.1","12.7","336","","20.0","No Different than U.S. National Rate","16.6","23.8","149","","25.7","No Different than U.S. National Rate","22.8","28.9","535","","18.0","No Different than U.S. National Rate","15.2","21.1","342",""
"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","","","LIVINGSTON","NJ","07039","ESSEX","9733225000","14.3","No Different than U.S. National Rate","12.1","16.8","413","","9.9","Better than U.S. National Rate","8.4","11.5","958","","10.1","No Different than U.S. National Rate","8.5","12.1","649","","18.5","No Different than U.S. National Rate","16.1","21.3","497","","25.9","No Different than U.S. National Rate","23.6","28.4","1158","","17.9","No Different than U.S. National Rate","15.5","20.6","645",""
"310081","UNDERWOOD - MEMORIAL HOSPITAL","509 N BROAD ST","","","WOODBURY","NJ","08096","GLOUCESTER","8568450100","12.7","Better than U.S. National Rate","10.4","15.4","311","","11.3","No Different than U.S. National Rate","9.5","13.4","695","","11.0","No Different than U.S. National Rate","9.0","13.3","464","","21.8","No Different than U.S. National Rate","18.2","25.8","211","","29.0","Worse than U.S. National Rate","26.2","31.8","819","","18.5","No Different than U.S. National Rate","15.8","21.4","464",""
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","","","EAST ORANGE","NJ","07018","ESSEX","9732664401","11.8","Better than U.S. National Rate","9.2","15.1","111","","6.7","Better than U.S. National Rate","5.2","8.9","337","","9.6","No Different than U.S. National Rate","7.6","12.2","211","","22.2","No Different than U.S. National Rate","18.7","26.2","99","","28.6","Worse than U.S. National Rate","25.1","32.0","396","","25.1","Worse than U.S. National Rate","20.9","28.8","202",""
"310084","KIMBALL MEDICAL CENTER","600 RIVER AVE","","","LAKEWOOD","NJ","08701","OCEAN","7323631900","14.4","No Different than U.S. National Rate","12.0","17.0","289","","10.5","No Different than U.S. National Rate","8.7","12.6","554","","9.5","Better than U.S. National Rate","7.7","11.7","484","","22.3","No Different than U.S. National Rate","18.9","26.1","175","","28.4","Worse than U.S. National Rate","25.4","31.4","642","","22.7","Worse than U.S. National Rate","19.6","25.6","506",""
"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","","","STRATFORD","NJ","08084","CAMDEN","8563466000","16.7","No Different than U.S. National Rate","14.4","19.2","435","","10.7","No Different than U.S. National Rate","9.3","12.3","1220","","10.8","No Different than U.S. National Rate","9.4","12.5","1142","","21.5","No Different than U.S. National Rate","18.6","24.8","294","","27.7","Worse than U.S. National Rate","25.5","29.7","1474","","21.8","Worse than U.S. National Rate","19.6","24.0","1176",""
"310091","MEMORIAL HOSPITAL OF SALEM COUNTY","310 WOODSTOWN ROAD","","","SALEM","NJ","08079","SALEM","8569351000","17.2","No Different than U.S. National Rate","13.7","21.6","92","","10.0","No Different than U.S. National Rate","7.6","12.8","247","","12.2","No Different than U.S. National Rate","9.8","15.3","275","","20.2","No Different than U.S. National Rate","16.4","24.6","47","","26.2","No Different than U.S. National Rate","22.9","29.6","326","","22.3","Worse than U.S. National Rate","18.8","25.9","266",""
"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","","","TRENTON","NJ","08638","MERCER","6093946000","17.0","No Different than U.S. National Rate","13.3","21.3","65","","12.4","No Different than U.S. National Rate","9.8","15.3","292","","10.6","No Different than U.S. National Rate","8.1","13.6","188","","20.1","No Different than U.S. National Rate","16.1","24.5","25","","27.0","No Different than U.S. National Rate","23.4","30.8","323","","19.8","No Different than U.S. National Rate","16.4","23.5","179",""
"310096","SAINT MICHAEL'S MEDICAL CENTER, INC","111 CENTRAL AVENUE","","","NEWARK","NJ","07102","ESSEX","9738775350","16.7","No Different than U.S. National Rate","13.0","21.7","142","","8.1","Better than U.S. National Rate","6.4","10.2","594","","13.1","No Different than U.S. National Rate","10.1","16.6","204","","27.4","Worse than U.S. National Rate","23.5","31.2","304","","25.9","No Different than U.S. National Rate","23.4","28.6","773","","22.4","Worse than U.S. National Rate","18.8","26.2","201",""
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","","","EDISON","NJ","08818","MIDDLESEX","7323217000","16.5","No Different than U.S. National Rate","14.2","19.1","513","","13.4","Worse than U.S. National Rate","11.7","15.2","1089","","14.5","Worse than U.S. National Rate","12.6","16.5","814","","21.9","No Different than U.S. National Rate","18.9","25.1","347","","25.6","No Different than U.S. National Rate","23.4","27.8","1228","","18.4","No Different than U.S. National Rate","16.1","20.7","794",""
"310110","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","ONE HAMILTON HEALTH PLACE","","","HAMILTON","NJ","08690","MERCER","6095867900","16.1","No Different than U.S. National Rate","13.2","19.2","254","","11.0","No Different than U.S. National Rate","9.3","13.1","725","","13.5","No Different than U.S. National Rate","11.3","16.2","504","","23.9","Worse than U.S. National Rate","19.9","28.1","149","","26.6","No Different than U.S. National Rate","24.1","29.3","828","","20.5","No Different than U.S. National Rate","17.6","23.7","478",""
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","","","FREEHOLD","NJ","07728","MONMOUTH","7324312000","15.1","No Different than U.S. National Rate","12.4","18.2","230","","8.9","Better than U.S. National Rate","7.2","10.8","658","","11.9","No Different than U.S. National Rate","9.9","14.1","693","","20.3","No Different than U.S. National Rate","16.7","24.1","109","","25.5","No Different than U.S. National Rate","22.8","28.2","762","","20.4","No Different than U.S. National Rate","17.8","23.2","688",""
"310112","BAYSHORE COMMUNITY HOSPITAL","727 N BEERS ST","","","HOLMDEL","NJ","07733","MONMOUTH","7327395900","15.1","No Different than U.S. National Rate","12.6","18.2","261","","10.0","No Different than U.S. National Rate","8.2","12.3","482","","11.5","No Different than U.S. National Rate","9.3","14.0","395","","21.4","No Different than U.S. National Rate","18.1","25.2","181","","29.5","Worse than U.S. National Rate","26.3","32.7","557","","18.9","No Different than U.S. National Rate","16.2","21.9","398",""
"310113","SOUTHERN OCEAN MEDICAL CENTER","1140 RT 72 W","","","MANAHAWKIN","NJ","08050","OCEAN","6095976011","15.3","No Different than U.S. National Rate","12.4","18.8","243","","12.5","No Different than U.S. National Rate","10.3","15.1","454","","11.5","No Different than U.S. National Rate","9.3","14.0","424","","20.2","No Different than U.S. National Rate","16.8","23.7","142","","25.2","No Different than U.S. National Rate","22.4","28.2","509","","17.7","No Different than U.S. National Rate","15.1","20.5","412",""
"310115","HACKETTSTOWN REGIONAL MEDICAL CENTER","651 WILLOW GROVE ST","","","HACKETTSTOWN","NJ","07840","WARREN","9088525100","12.4","Better than U.S. National Rate","9.7","15.4","149","","10.5","No Different than U.S. National Rate","8.3","13.0","360","","10.1","No Different than U.S. National Rate","7.5","13.3","183","","19.6","No Different than U.S. National Rate","16.1","23.6","99","","27.6","No Different than U.S. National Rate","24.3","31.1","429","","19.8","No Different than U.S. National Rate","16.1","23.8","188",""
"310118","MEADOWLANDS HOSPITAL MEDICAL CENTER","55 MEADOWLANDS PKWY","","","SECAUCUS","NJ","07094","HUDSON","2013923100","14.7","No Different than U.S. National Rate","10.9","19.5","38","","10.0","No Different than U.S. National Rate","7.6","13.0","195","","12.6","No Different than U.S. National Rate","9.3","16.4","136","","Not Available","Number of Cases Too Small","Not Available","Not Available","24","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.2","No Different than U.S. National Rate","22.6","30.1","251","","21.1","No Different than U.S. National Rate","17.0","25.6","130",""
"310119","UMDNJ UNIVERSITY HOSPITAL","150 BERGEN ST","","","NEWARK","NJ","07103","ESSEX","9739725658","15.7","No Different than U.S. National Rate","11.9","20.5","52","","11.7","No Different than U.S. National Rate","8.6","15.7","129","","9.9","No Different than U.S. National Rate","7.0","13.7","86","","22.1","No Different than U.S. National Rate","17.7","27.0","67","","27.3","No Different than U.S. National Rate","23.4","31.5","196","","19.6","No Different than U.S. National Rate","15.8","24.1","93",""
"310120","SAINT CLARE'S HOSPITAL/SUSSEX","20 WALNUT ST","","","SUSSEX","NJ","07461","SUSSEX","9737022200","15.8","No Different than U.S. National Rate","11.6","20.7","26","","12.9","No Different than U.S. National Rate","9.3","17.5","85","","11.6","No Different than U.S. National Rate","8.1","16.5","70","","Not Available","Number of Cases Too Small","Not Available","Not Available","18","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.0","No Different than U.S. National Rate","21.3","31.3","94","","18.1","No Different than U.S. National Rate","14.4","23.0","70",""
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","","","ALBUQUERQUE","NM","87106","BERNALILLO","5052722111","15.6","No Different than U.S. National Rate","12.2","20.2","126","","13.2","No Different than U.S. National Rate","9.7","17.8","143","","16.9","Worse than U.S. National Rate","13.1","22.0","164","","19.4","No Different than U.S. National Rate","15.8","23.6","144","","25.0","No Different than U.S. National Rate","20.8","29.4","171","","17.1","No Different than U.S. National Rate","13.9","21.0","178",""
"320002","ST VINCENT HOSPITAL","455 ST MICHAEL'S DRIVE","","","SANTA FE","NM","87505","SANTA FE","5059833361","13.9","No Different than U.S. National Rate","11.0","17.4","192","","10.7","No Different than U.S. National Rate","8.2","14.0","201","","11.6","No Different than U.S. National Rate","9.0","14.8","263","","17.9","No Different than U.S. National Rate","14.5","21.9","171","","19.5","Better than U.S. National Rate","16.3","23.3","250","","18.6","No Different than U.S. National Rate","15.4","22.1","281",""
"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION AVE","","","LAS VEGAS","NM","87701","SAN MIGUEL","5054263930","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.0","No Different than U.S. National Rate","8.0","15.2","79","","11.7","No Different than U.S. National Rate","8.7","15.5","117","","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.8","No Different than U.S. National Rate","19.4","28.8","93","","18.5","No Different than U.S. National Rate","14.7","23.0","119",""
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTE","2669 NORTH SCENIC DRIVE","","","ALAMOGORDO","NM","88310","OTERO","5754396100","17.0","No Different than U.S. National Rate","13.3","21.7","38","","10.4","No Different than U.S. National Rate","7.6","13.9","124","","13.3","No Different than U.S. National Rate","10.1","17.3","177","","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.4","No Different than U.S. National Rate","20.5","29.0","136","","16.5","No Different than U.S. National Rate","13.4","20.6","179",""
"320005","SAN JUAN REGIONAL MEDICAL CENTER","801 WEST MAPLE STREET","","","FARMINGTON","NM","87401","SAN JUAN","5056092000","15.0","No Different than U.S. National Rate","11.7","18.8","170","","15.6","Worse than U.S. National Rate","12.3","19.3","274","","12.0","No Different than U.S. National Rate","9.8","15.0","412","","17.7","No Different than U.S. National Rate","14.6","21.7","157","","23.8","No Different than U.S. National Rate","20.6","27.6","315","","15.3","Better than U.S. National Rate","13.0","18.3","437",""
"320006","EASTERN NEW MEXICO MEDICAL CENTER","405 W COUNTRY CLUB RD","","","ROSWELL","NM","88201","CHAVES","5756248722","18.2","No Different than U.S. National Rate","14.6","22.6","127","","11.1","No Different than U.S. National Rate","8.5","14.6","174","","11.8","No Different than U.S. National Rate","9.1","15.1","273","","18.9","No Different than U.S. National Rate","15.2","23.4","101","","22.4","No Different than U.S. National Rate","18.8","26.4","214","","17.0","No Different than U.S. National Rate","14.0","20.5","286",""
"320009","LOVELACE MEDICAL CENTER","601 DR MARTIN LUTHER KING JR AVE NE","","","ALBUQUERQUE","NM","87102","BERNALILLO","5057278000","16.8","No Different than U.S. National Rate","13.2","20.9","130","","11.8","No Different than U.S. National Rate","8.8","16.0","109","","12.2","No Different than U.S. National Rate","8.8","16.3","118","","15.9","No Different than U.S. National Rate","12.7","19.9","136","","23.8","No Different than U.S. National Rate","19.7","28.2","140","","18.2","No Different than U.S. National Rate","14.7","22.3","122",""
"320011","ESPANOLA HOSPITAL","1010 SPRUCE STREET","","","ESPANOLA","NM","87532","RIO ARRIBA","5057537111","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.0","No Different than U.S. National Rate","7.8","15.1","44","","11.2","No Different than U.S. National Rate","8.0","15.1","124","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.2","No Different than U.S. National Rate","18.6","28.3","51","","18.5","No Different than U.S. National Rate","14.6","23.1","123",""
"320013","HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS","1397 WEIMER ROAD","","","TAOS","NM","87571","TAOS","5757588883","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.9","No Different than U.S. National Rate","7.7","15.0","62","","11.6","No Different than U.S. National Rate","8.9","15.2","178","","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.0","No Different than U.S. National Rate","19.4","29.1","69","","18.6","No Different than U.S. National Rate","15.3","22.7","190",""
"320014","MIMBRES MEMORIAL HOSPITAL","900 W ASH","","","DEMING","NM","88031","LUNA","5755465803","Not Available","Number of Cases Too Small","Not Available","Not Available","19","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.9","No Different than U.S. National Rate","8.7","16.2","88","","12.7","No Different than U.S. National Rate","9.2","17.5","61","","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.4","No Different than U.S. National Rate","20.0","29.6","92","","17.7","No Different than U.S. National Rate","14.1","22.2","58",""
"320016","GILA REGIONAL MEDICAL CENTER","1313 E 32ND ST","","","SILVER CITY","NM","88061","GRANT","5755384000","Not Available","Number of Cases Too Small","Not Available","Not Available","24","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.8","No Different than U.S. National Rate","7.8","14.4","121","","13.1","No Different than U.S. National Rate","10.0","16.9","149","","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.2","No Different than U.S. National Rate","20.8","30.2","143","","16.7","No Different than U.S. National Rate","13.3","21.0","158",""
"320017","LOVELACE WOMEN'S HOSPITAL","4701 MONTGOMERY BOULEVARD NE","","","ALBUQUERQUE","NM","87109","BERNALILLO","5057277805","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.9","No Different than U.S. National Rate","7.8","15.3","26","","13.5","No Different than U.S. National Rate","9.3","19.4","66","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.9","No Different than U.S. National Rate","18.2","28.5","27","","17.2","No Different than U.S. National Rate","13.5","22.0","76",""
"320018","MEMORIAL MEDICAL CENTER INC","2450 SOUTH TELSHOR BLVD","","","LAS CRUCES","NM","88011","DONA ANA","5755228641","15.6","No Different than U.S. National Rate","12.4","19.5","179","","12.7","No Different than U.S. National Rate","9.8","16.4","208","","11.0","No Different than U.S. National Rate","8.6","13.7","399","","19.0","No Different than U.S. National Rate","15.6","23.2","178","","22.5","No Different than U.S. National Rate","19.2","26.5","252","","16.8","No Different than U.S. National Rate","14.1","20.0","400",""
"320021","PRESBYTERIAN HOSPITAL","1100 CENTRAL AVENUE SE","","","ALBUQUERQUE","NM","87106","BERNALILLO","5057247281","15.7","No Different than U.S. National Rate","13.0","18.7","444","","11.0","No Different than U.S. National Rate","8.8","13.5","428","","12.6","No Different than U.S. National Rate","10.4","14.8","657","","16.9","No Different than U.S. National Rate","14.1","20.2","445","","20.8","Better than U.S. National Rate","18.1","24.3","492","","14.8","Better than U.S. National Rate","12.7","17.8","688",""
"320022","PLAINS REGIONAL MEDICAL CENTER  CLOVIS","2100 MARTIN LUTHER KING, JR, BLVD","","","CLOVIS","NM","88101","CURRY","5757697155","16.0","No Different than U.S. National Rate","12.2","20.5","30","","14.0","No Different than U.S. National Rate","10.6","18.4","125","","14.0","No Different than U.S. National Rate","10.7","18.0","193","","Not Available","Number of Cases Too Small","Not Available","Not Available","20","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.3","No Different than U.S. National Rate","20.4","28.8","144","","15.9","No Different than U.S. National Rate","12.7","19.8","199",""
"320030","ARTESIA GENERAL HOSPITAL","702 N 13TH ST","","","ARTESIA","NM","88210","EDDY","5757483333","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.7","No Different than U.S. National Rate","7.5","15.5","28","","10.2","No Different than U.S. National Rate","7.2","14.3","97","","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.2","No Different than U.S. National Rate","19.4","29.7","35","","17.5","No Different than U.S. National Rate","13.8","22.1","103",""
"320033","LOS ALAMOS MEDICAL CENTER","3917 WEST ROAD","","","LOS ALAMOS","NM","87544","LOS ALAMOS","5056624201","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.2","No Different than U.S. National Rate","8.0","15.4","36","","12.5","No Different than U.S. National Rate","9.1","16.9","79","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.9","No Different than U.S. National Rate","19.0","29.5","39","","18.5","No Different than U.S. National Rate","14.4","23.2","82",""
"320038","REHOBOTH MCKINLEY CHRISTIAN HEALTH SER","1901 RED ROCK DRIVE","","","GALLUP","NM","87301","MCKINLEY","5058637000","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.9","No Different than U.S. National Rate","7.8","14.9","76","","10.4","No Different than U.S. National Rate","7.5","14.1","178","","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.8","No Different than U.S. National Rate","20.2","30.1","91","","18.7","No Different than U.S. National Rate","15.2","22.9","198",""
"320057","SANTA FE PHS INDIAN HOSPITAL","1700 CERRILLOS ROAD","","","SANTA FE","NM","87501","SANTA FE","5059889821","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","11","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"320058","MESCALERO PHS INDIAN HOSPITAL","P O BOX 210","","","MESCALERO","NM","88340","OTERO","5054644441","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Number of Cases Too Small","Not Available","Not Available","2","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","17","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing"
"320059","NORTHERN NAVAJO MEDICAL CENTER","US HWY 491 NORTH","","","SHIPROCK","NM","87420","SAN JUAN","5053686001","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.1","No Different than U.S. National Rate","7.8","15.7","46","","11.7","No Different than U.S. National Rate","9.0","15.2","231","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","26.6","No Different than U.S. National Rate","21.8","32.1","66","","16.5","No Different than U.S. National Rate","13.3","20.5","247",""
"320060","ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER","ROUTE 301 NORTH","","","ZUNI","NM","87327","MCKINLEY","5057824431","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","7","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.7","No Different than U.S. National Rate","8.0","16.3","44","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","10","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","17.1","No Different than U.S. National Rate","13.2","22.3","46",""
"320061","GALLUP INDIAN MEDICAL CENTER","516 E NIZHONI BLVD","","","GALLUP","NM","87301","MCKINLEY","5057221000","Not Available","Number of Cases Too Small","Not Available","Not Available","6","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","11.4","No Different than U.S. National Rate","8.1","15.5","53","","11.2","No Different than U.S. National Rate","8.4","15.0","201","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","25.1","No Different than U.S. National Rate","20.5","30.5","66","","18.5","No Different than U.S. National Rate","15.0","22.8","213",""
"320062","CROWNPOINT HEALTHCARE FACILITY","JUNCTION OF HWY 371","","","CROWNPOINT","NM","87313","MCKINLEY","5057865291","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","15","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","10.4","No Different than U.S. National Rate","7.0","15.0","60","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","Not Available","Number of Cases Too Small","Not Available","Not Available","20","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","17.5","No Different than U.S. National Rate","13.6","22.4","59",""
"320063","CARLSBAD MEDICAL CENTER","2430 WEST PIERCE","","","CARLSBAD","NM","88220","EDDY","5758874570","15.3","No Different than U.S. National Rate","11.7","19.8","68","","10.8","No Different than U.S. National Rate","7.9","14.7","128","","12.7","No Different than U.S. National Rate","9.4","16.9","152","","21.0","No Different than U.S. National Rate","16.7","25.8","46","","23.0","No Different than U.S. National Rate","19.1","27.4","160","","19.2","No Different than U.S. National Rate","15.6","23.4","164",""
